5】、7,time,lat,lng,flex,gsr,bpm
249,15:39:04,45.430097,12.359792,15,278,121
250,15:39:04,45.430097,12.359792,13,278,119
251,15:39:10,45.430061,12.359862,14,279,119
252,15:39:10,45.430061,12.359862,16,279,121
253,15:39:10,45.430061,12.359862,20,279,121
254,15:39:10,45.430061,12.359862,25,278,120
255,15:39:10,45.430061,12.359862,23,279,120
256,15:39:10,45.430061,12.359862,15,279,121
257,15:39:17,45.430061,12.359862,14,280,121
258,15:39:17,45.430061,12.359862,16,279,119
259,136:00:00,45.429981,0.210004,18,278,120
260,136:00:00,45.429981,0.210004,22,276,121
261,136:00:00,45.429981,0.210004,31,273,120
262,136:30:00,45.429955,0.210044,16,271,122
263,136:30:00,45.429955,0.210044,16,269,119
264,15:39:24,45.429948,12.360056,19,268,121
265,15:39:24,45.429948,12.360056,20,268,119
266,15:39:24,45.429948,12.360056,22,271,121
267,15:39:24,45.429948,12.360056,28,268,121
268,15:39:24,45.429948,12.360056,25,285,121
269,15:39:30,45.429899,12.360129,19,269,121
270,15:39:30,45.429899,12.360129,16,268,119
271,15:39:30,45.429899,12.360129,17,269,121
272,15:39:30,45.429899,12.360129,18,269,121
273,15:39:30,45.429899,12.360129,20,270,121
274,15:39:30,45.429899,12.360129,23,271,121
275,15:39:30,45.429899,12.360129,25,271,121
276,15:39:37,45.429844,12.360198,24,271,121
277,15:39:37,45.429844,12.360198,16,272,120
278,15:39:37,45.429844,12.360198,16,272,121
279,15:39:37,45.429844,12.360198,15,277,121
280,15:39:37,45.429844,12.360198,18,314,117
281,15:39:43,45.429802,12.360267,21,274,121
282,15:39:43,45.429802,12.360267,26,274,121
283,15:39:43,45.429802,12.360267,22,274,118
284,15:39:43,45.429802,12.360267,15,274,122
285,15:39:43,45.429802,12.360267,15,276,121
286,15:39:43,45.429802,12.360267,17,273,119
287,15:39:43,45.429802,12.360267,20,272,117
288,15:39:50,45.429748,12.360345,18,271,121
289,15:39:50,45.429748,12.360345,17,271,117
290,15:39:50,45.429748,12.360345,17,270,119
291,15:39:50,45.429748,12.360345,18,271,118
292,15:39:50,45.429748,12.360345,25,271,123
293,15:39:56,45.429712,12.36041,26,271,121
294,15:39:56,45.429712,12.36041,16,273,122
295,15:39:56,45.429712,12.36041,16,272,121
296,15:39:56,45.429712,12.36041,18,272,121
297,15:39:56,45.429712,12.36041,17,273,121
298,15:39:56,45.429712,12.36041,20,274,121
299,15:39:56,45.429712,12.36041,21,274,121
300,15:40:03,45.429682,12.360501,15,274,122
301,15:40:03,45.429682,12.360501,14,273,121
302,15:40:03,45.429682,12.360501,18,274,120
303,15:40:03,45.429682,12.360501,21,274,119
304,15:40:03,45.429682,12.360501,26,275,122
305,15:40:03,45.429682,12.360501,16,276,121
306,15:40:03,45.429682,12.360501,15,276,122
307,15:40:03,45.429682,12.360501,20,277,121
308,15:40:03,45.429682,12.360501,20,276,121
309,15:40:03,45.429682,12.360501,28,272,121
310,15:40:03,45.429682,12.360501,14,272,121
311,15:40:03,45.429682,12.360501,14,270,119
312,15:40:16,45.429679,12.360672,16,270,120
313,15:40:16,45.429679,12.360672,17,267,121
314,15:40:19,0,0,25,267,121
315,15:40:19,0,0,19,267,121
316,15:40:19,0,0,14,266,115
317,15:40:19,0,0,17,267,121
318,15:40:19,0,0,17,266,121
319,15:40:19,0,0,22,265,121
320,15:40:19,0,0,25,265,114
321,15:40:19,0,0,15,265,107
322,15:40:19,0,0,14,266,104
323,15:40:28,45.429684,12.360834,16,264,105
324,15:40:28,45.429684,12.360834,19,265,103
325,15:40:28,45.429684,12.360834,17,266,106
326,15:40:28,45.429684,12.360834,18,265,117
327,15:40:28,45.429684,12.360834,14,265,114
328,15:40:28,45.429684,12.360834,17,264,106
329,15:40:28,45.429684,12.360834,17,263,111
330,15:40:28,45.429684,12.360834,21,262,97
331,15:40:28,45.429684,12.360834,23,258,109
332,15:40:28,45.429684,12.360834,22,254,116
333,15:40:40,62561.16834,12.360943,23,251,122
334,15:40:40,45.429633,12.360943,18,248,111
335,15:40:40,45.429633,12.360943,27,246,120
336,15:40:43,0.929618,12.360988,22,246,125
337,15:40:43,0.929618,12.360988,23,247,111
338,15:40:43,0.929618,12.360988,21,246,118
339,15:40:43,0.929618,12.360988,15,246,121
340,15:40:43,0.929618,12.360988,14,247,123
341,15:40:48,0,0,20,247,117
342,15:40:48,0,0,34,247,122
343,15:40:48,0,0,41,247,118
344,15:40:48,0,0,44,248,117
345,15:40:52,45.429628,12.36106,18,247,117
346,15:40:52,45.429628,12.36106,18,247,123
347,15:40:52,45.429628,12.36106,16,248,126
348,15:40:52,45.429628,12.36106,15,250,128
349,15:40:52,45.429628,12.36106,17,251,117
350,15:40:52,45.429628,12.36106,18,251,118
351,15:40:52,45.429628,12.36106,18,252,124
352,15:40:52,45.429628,12.36106,23,253,121
353,15:40:52,45.429628,12.36106,19,253,112
354,15:40:52,45.429628,12.36106,15,254,115
355,15:40:52,45.429628,12.36106,13,256,118
356,15:40:52,45.429628,12.36106,14,256,123
357,15:40:52,45.429628,12.36106,14,256,122
358,15:40:52,45.429628,12.36106,16,257,120
359,15:40:52,45.429628,12.36106,18,257,120
360,15:41:09,45.429604,12.361322,20,258,119
361,01:14:41,45.429604,0.361346,28,258,117
362,01:14:41,45.429604,0.361346,26,259,110
363,01:14:41,45.429604,0.361346,17,258,108
364,01:14:41,45.429604,0.361346,16,258,118
365,01:14:41,45.429604,0.361346,18,258,121
366,01:14:41,45.429604,0.361346,22,258,122
367,01:14:41,45.429604,0.361346,13,257,120
368,01:14:18,45.429578,12.36135,13,255,120
369,01:14:18,45.429578,12.36135,15,254,121
370,01:14:18,45.429578,12.36135,14,256,121
371,15:41:21,45.429572,12.36143,14,256,121
372,15:41:21,45.429572,12.36143,23,255,121
373,15:41:21,45.429572,12.36143,19,256,121
374,15:41:21,45.429572,12.36143,17,257,121
375,15:41:21,45.429572,12.36143,14,257,121
376,15:41:21,45.429572,12.36143,17,258,120
377,15:41:21,45.429572,12.36143,27,259,121
378,15:41:28,45.42955,12.361515,13,260,121
379,15:41:28,45.42955,12.361515,13,260,121
380,15:41:28,45.42955,12.361515,15,262,118
381,15:41:28,45.42955,12.361515,15,263,120
382,15:41:28,45.42955,12.361515,19,263,123
383,15:41:34,45.429553,12.361592,22,263,117
384,15:41:34,45.429553,12.361592,21,264,123
385,15:41:34,45.429553,12.361592,11,266,121
386,15:41:34,45.429553,12.361592,10,267,121
387,15:41:34,45.429553,12.361592,14,266,121
388,15:41:34,45.429553,12.361592,14,266,121
389,15:41:34,45.429553,12.361592,23,266,121
390,15:41:41,45.429545,12.361654,18,265,121
391,15:41:41,45.429545,12.361654,10,266,121
392,15:41:41,45.429545,12.361654,12,266,121
393,15:41:45,45.429545,12.361654,10,266,121
394,15:41:45,45.429545,12.361654,18,264,121
395,15:41:47,45.429511,12.361681,18,262,121
396,15:41:47,45.429511,12.361681,9,262,121
397,15:41:47,45.429511,12.361681,10,262,121
398,15:41:47,45.429511,12.361681,10,261,119
399,15:41:47,45.429511,12.361681,16,260,120
